Kategorie,Thema/Seite,URL / Slug,Primär-Keyword,Status
Pflichtseiten (Keyword-Map),Start,/,katamaran mieten šibenik,vorhanden
Pflichtseiten (Keyword-Map),Die Yacht,/die-yacht,lagoon 400 s2 mieten,vorhanden
Pflichtseiten (Keyword-Map),Charter-Infos,/charter-infos,katamaran charter preise kroatien,vorhanden
Pflichtseiten (Keyword-Map),Revier Šibenik,/revier-sibenik,segelrevier šibenik,vorhanden
Pflichtseiten (Keyword-Map),Katamaran mieten Kroatien (Revier-Guide),/katamaran-mieten-kroatien,katamaran mieten kroatien,vorhanden
Pflichtseiten (Keyword-Map),Segeln in den Kornaten,/segeln-in-den-kornaten,segeltörn kornaten,vorhanden
Pflichtseiten (Keyword-Map),Städte Dalmatiens,/staedte-dalmatiens,dalmatien segeln städte,vorhanden
Pflichtseiten (Keyword-Map),Kontakt,/kontakt,miss moneypenny anfragen,vorhanden
Pflichtseiten (Keyword-Map),Impressum,/impressum,–,vorhanden
Pflichtseiten (Keyword-Map),Datenschutz,/datenschutz,–,vorhanden
Optionale Content-Erweiterungen (Abschnitt 6),Autark segeln: Wassermacher & Solar erklärt,/autark-segeln (o. als Abschnitt auf /die-yacht),autarker katamaran mieten,nicht vorhanden
Optionale Content-Erweiterungen (Abschnitt 6),Törnvorschlag: 1 Woche Kornaten ab Šibenik,/toernvorschlag-kornaten (o. Abschnitt auf /segeln-in-den-kornaten),kornaten ab šibenik,nicht vorhanden
Optionale Content-Erweiterungen (Abschnitt 6),Beste Reisezeit & Wind in Kroatien (Maestral / Bora),/beste-reisezeit-kroatien (o. Abschnitt auf /katamaran-mieten-kroatien),beste reisezeit segeln kroatien,nicht vorhanden
Optionale Content-Erweiterungen (Abschnitt 6),Brauche ich einen Segelschein für Kroatien?,/segelschein-kroatien (o. FAQ-Abschnitt),segelschein kroatien charter,nicht vorhanden
Optionale Content-Erweiterungen (Abschnitt 6),Katamaran für Familien & Einsteiger,/katamaran-familien-einsteiger (o. Abschnitt auf /die-yacht),katamaran für anfänger / familien,nicht vorhanden
Optionale Content-Erweiterungen (Abschnitt 6),Kundenstimmen mit Review-Schema (Sterne in Google),/bewertungen (o. integriert in Start / Charter-Infos),miss moneypenny bewertungen,nicht vorhanden
